branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
3635216386,93341529,96584088,336647707,16006859017,18260010089,densenet121
3619086106,93405689,95646210,337333267,16308319518,18156407297,densenet121
3617191461,113627750,112087496,302393143,25334940541,18188113530,densenet121
3626768858,93727053,99360728,339291003,16190729699,18187056723,densenet121
3612003156,93201423,95142706,340192580,15776410245,18128347441,densenet121
3621498289,94253180,100009098,341216901,16149816289,18172328940,densenet121
3623673719,93765094,83749571,341187869,15610994246,18174909610,densenet121
3618637013,93407468,96048327,336496616,15909184600,18161619896,densenet121
3629989114,93557447,99101542,339482081,16242620390,18209263485,densenet121
3622816851,93902109,94675610,336995248,15806625035,18180077702,densenet121
2518404382,40416408,128908407,242578382,21762132035,26029617867,vgg16
2438395638,40176248,121321007,231412005,21387762353,25545803403,vgg16
2431274543,40175736,121607406,232656728,21277467777,25522736710,vgg16
2433331329,40001039,122117688,233653493,21423979406,25524708148,vgg16
2433301389,40003911,121208002,231181410,21282736191,25523552332,vgg16
2433506247,39928766,122709536,232665333,21421657989,25520729345,vgg16
2452484686,40158305,122320587,233626049,21395738250,25619447721,vgg16
2425849816,40089933,121454707,232271521,21365212191,25489069587,vgg16
2433101383,40059671,122349505,231738210,21355922676,25516411995,vgg16
2436244008,40040488,121778801,233102041,21823704741,25540976772,vgg16
2557459938,41046996,134454826,256359535,22718511317,27151177036,Vgg19
2483538059,40816694,124535974,245761027,22357344733,26699972469,Vgg19
2484545693,40764652,126952776,246985744,22406909884,26685361944,Vgg19
2476781010,40697538,126732569,246199480,22344027162,26656573442,Vgg19
2477473246,40576030,127034336,246985320,22576640183,26661312960,Vgg19
2489207899,40786527,125455182,245675480,22294929210,26707686874,Vgg19
2487564712,40871197,126889686,246603005,22559386327,26718243095,Vgg19
2484547685,40776169,125006815,243968624,22503066853,26697320492,Vgg19
2492544388,40729364,126381300,245851158,22517511148,26725745589,Vgg19
2480727916,40744589,126541045,247076867,22410821365,26677932855,Vgg19
1345561450,32168672,30759375,75894523,4909579567,6328749425,resnet50
1343517048,32031590,31022591,77410293,4914583450,6320493296,resnet50
1339615146,31908366,31890370,77136990,4931470953,6303730349,resnet50
1343948889,32235823,31749067,77660600,5072329325,6322625080,resnet50
1343065607,32069683,30907279,77346560,4900740053,6318402161,resnet50
1342757453,32068079,30907360,77334702,4901851414,6318017915,resnet50
1346248546,32045163,31689434,77474934,4954075389,6335530681,resnet50
1341760208,31949142,30948023,77193057,4900536030,6313823114,resnet50
1341586447,31999547,30610874,76950019,4880569418,6311970583,resnet50
1343094544,32149455,31403727,76711475,4919166792,6320242724,resnet50
1997838363,48541315,44586260,142069101,7723295220,9800868551,mobilenet_v1
2003076739,48470943,45260647,140819863,7819520616,9811555676,mobilenet_v1
1995993500,48510849,45509209,141444698,7813137998,9788350137,mobilenet_v1
1997443951,48684295,45179878,142886309,7844235619,9789062438,mobilenet_v1
2002397320,48493525,45407723,141587757,7823811451,9816764499,mobilenet_v1
2000042095,48443665,45363831,141969911,7968715108,9803642114,mobilenet_v1
2004657934,48675469,45398773,139866641,7806165272,9818261377,mobilenet_v1
1996960212,48390429,45689513,141784968,8071500492,9793471653,mobilenet_v1
1995009257,48271931,44552439,142125338,7707831574,9784707837,mobilenet_v1
1994797532,48340573,44837778,141190196,7787532972,9782550664,mobilenet_v1
